,Start Date,End Date,D,T,Energy,Energy_lag1,T_Out
0,1/12/2016 0:00,1/12/2016 3:00,1,1,2160,,5.113157895
1,1/12/2016 3:10,1/12/2016 6:00,2,2,760,2160,4.919444444
2,1/12/2016 6:10,1/12/2016 9:00,3,3,1100,760,5.013888889
3,1/12/2016 9:10,1/12/2016 12:00,4,4,1980,1100,5.927777778
4,1/12/2016 12:10,1/12/2016 15:00,5,5,2840,1980,7.147222222
5,1/12/2016 15:10,1/12/2016 18:00,6,6,1800,2840,6.275
6,1/12/2016 18:10,1/12/2016 21:00,7,7,970,1800,4.763888889
7,1/12/2016 21:10,1/12/2016 23:50,8,8,730,970,5.385294118
8,1/13/2016 0:00,1/13/2016 3:00,1,9,780,730,5.465789474
9,1/13/2016 3:10,1/13/2016 6:00,2,10,700,780,5.269444444
10,1/13/2016 6:10,1/13/2016 9:00,3,11,2410,700,5.033333333
11,1/13/2016 9:10,1/13/2016 12:00,4,12,1720,2410,5.361111111
12,1/13/2016 12:10,1/13/2016 15:00,5,13,730,1720,6.191666667
13,1/13/2016 15:10,1/13/2016 18:00,6,14,1370,730,5.394444444
14,1/13/2016 18:10,1/13/2016 21:00,7,15,3450,1370,3.063888889
15,1/13/2016 21:10,1/13/2016 23:50,8,16,2810,3450,2.935294118
16,1/14/2016 0:00,1/14/2016 3:00,1,17,810,2810,2.905263158
17,1/14/2016 3:10,1/14/2016 6:00,2,18,750,810,3.338888889
18,1/14/2016 6:10,1/14/2016 9:00,3,19,2640,750,3.291666667
19,1/14/2016 9:10,1/14/2016 12:00,4,20,5830,2640,2.144444444
20,1/14/2016 12:10,1/14/2016 15:00,5,21,2690,5830,4.472222222
21,1/14/2016 15:10,1/14/2016 18:00,6,22,4600,2690,4.972222222
22,1/14/2016 18:10,1/14/2016 21:00,7,23,3390,4600,3.869444444
23,1/14/2016 21:10,1/14/2016 23:50,8,24,1090,3390,2.435294118
24,1/15/2016 0:00,1/15/2016 3:00,1,25,940,1090,0.513157895
25,1/15/2016 3:10,1/15/2016 6:00,2,26,880,940,2.702777778
26,1/15/2016 6:10,1/15/2016 9:00,3,27,2340,880,3.2
27,1/15/2016 9:10,1/15/2016 12:00,4,28,2400,2340,3.530555556
28,1/15/2016 12:10,1/15/2016 15:00,5,29,2820,2400,4.088888889
29,1/15/2016 15:10,1/15/2016 18:00,6,30,1290,2820,2.488888889
30,1/15/2016 18:10,1/15/2016 21:00,7,31,4460,1290,2.497222222
31,1/15/2016 21:10,1/15/2016 23:50,8,32,2920,4460,2.405882353
32,1/16/2016 0:00,1/16/2016 3:00,1,33,870,2920,2.092105263
33,1/16/2016 3:10,1/16/2016 6:00,2,34,810,870,0.705555556
34,1/16/2016 6:10,1/16/2016 9:00,3,35,2650,810,1.055555556
35,1/16/2016 9:10,1/16/2016 12:00,4,36,1110,2650,2.927777778
36,1/16/2016 12:10,1/16/2016 15:00,5,37,1410,1110,5.563888889
37,1/16/2016 15:10,1/16/2016 18:00,6,38,3500,1410,3.108333333
38,1/16/2016 18:10,1/16/2016 21:00,7,39,5730,3500,1.358333333
39,1/16/2016 21:10,1/16/2016 23:50,8,40,1960,5730,0.661764706
40,1/17/2016 0:00,1/17/2016 3:00,1,41,880,1960,0.734210526
41,1/17/2016 3:10,1/17/2016 6:00,2,42,870,880,0.5
42,1/17/2016 6:10,1/17/2016 9:00,3,43,4220,870,-0.2
43,1/17/2016 9:10,1/17/2016 12:00,4,44,4060,4220,0.855555556
44,1/17/2016 12:10,1/17/2016 15:00,5,45,2540,4060,2.902777778
45,1/17/2016 15:10,1/17/2016 18:00,6,46,3730,2540,1.441666667
46,1/17/2016 18:10,1/17/2016 21:00,7,47,3010,3730,-1.136111111
47,1/17/2016 21:10,1/17/2016 23:50,8,48,1240,3010,-2.114705882
48,1/18/2016 0:00,1/18/2016 3:00,1,49,820,1240,-3.557894737
49,1/18/2016 3:10,1/18/2016 6:00,2,50,740,820,-4.097222222
50,1/18/2016 6:10,1/18/2016 9:00,3,51,860,740,-4.522222222
51,1/18/2016 9:10,1/18/2016 12:00,4,52,730,860,-2.741666667
52,1/18/2016 12:10,1/18/2016 15:00,5,53,740,730,-0.838888889
53,1/18/2016 15:10,1/18/2016 18:00,6,54,670,740,-1.011111111
54,1/18/2016 18:10,1/18/2016 21:00,7,55,6890,670,-2.527777778
