Start Date,D,T,Energy
1/12/16,1,1,2160
1/12/16,2,2,760
1/12/16,3,3,1100
1/12/16,4,4,1980
1/12/16,5,5,2840
1/12/16,6,6,1800
1/12/16,7,7,970
1/12/16,8,8,730
1/13/16,1,9,780
1/13/16,2,10,700
1/13/16,3,11,2410
1/13/16,4,12,1720
1/13/16,5,13,730
1/13/16,6,14,1370
1/13/16,7,15,3450
1/13/16,8,16,2810
1/14/16,1,17,810
1/14/16,2,18,750
1/14/16,3,19,2640
1/14/16,4,20,5830
1/14/16,5,21,2690
1/14/16,6,22,4600
1/14/16,7,23,3390
1/14/16,8,24,1090
1/15/16,1,25,940
1/15/16,2,26,880
1/15/16,3,27,2340
1/15/16,4,28,2400
1/15/16,5,29,2820
1/15/16,6,30,1290
1/15/16,7,31,4460
1/15/16,8,32,2920
1/16/16,1,33,870
1/16/16,2,34,810
1/16/16,3,35,2650
1/16/16,4,36,1110
1/16/16,5,37,1410
1/16/16,6,38,3500
1/16/16,7,39,5730
1/16/16,8,40,1960
1/17/16,1,41,880
1/17/16,2,42,870
1/17/16,3,43,4220
1/17/16,4,44,4060
1/17/16,5,45,2540
1/17/16,6,46,3730
1/17/16,7,47,3010
1/17/16,8,48,1240
1/18/16,1,49,820
1/18/16,2,50,740
1/18/16,3,51,860
1/18/16,4,52,730
1/18/16,5,53,740
1/18/16,6,54,670
1/18/16,7,55,6890
1/18/16,8,56,2080
1/19/16,1,57,800
1/19/16,2,58,740
1/19/16,3,59,780
1/19/16,4,60,680
1/19/16,5,61,720
1/19/16,6,62,1220
1/19/16,7,63,5890
1/19/16,8,64,1160
1/20/16,1,65,710
1/20/16,2,66,750
1/20/16,3,67,2020
1/20/16,4,68,1610
1/20/16,5,69,1320
1/20/16,6,70,2020
1/20/16,7,71,5750
1/20/16,8,72,2300
1/21/16,1,73,880
1/21/16,2,74,850
1/21/16,3,75,740
1/21/16,4,76,960
1/21/16,5,77,1740
1/21/16,6,78,750
1/21/16,7,79,5880
1/21/16,8,80,1540
1/22/16,1,81,720
1/22/16,2,82,700
1/22/16,3,83,1100
1/22/16,4,84,1520
1/22/16,5,85,640
1/22/16,6,86,680
1/22/16,7,87,640
1/22/16,8,88,580
1/23/16,1,89,690
1/23/16,2,90,690
1/23/16,3,91,1270
1/23/16,4,92,2410
1/23/16,5,93,2890
1/23/16,6,94,2400
1/23/16,7,95,1710
1/23/16,8,96,1340
1/24/16,1,97,700
1/24/16,2,98,680
1/24/16,3,99,4980
1/24/16,4,100,5210
1/24/16,5,101,4720
1/24/16,6,102,1350
1/24/16,7,103,2310
1/24/16,8,104,1690
1/25/16,1,105,870
1/25/16,2,106,820
1/25/16,3,107,820
1/25/16,4,108,750
1/25/16,5,109,830
1/25/16,6,110,830
1/25/16,7,111,2580
1/25/16,8,112,1970
1/26/16,1,113,1760
1/26/16,2,114,750
1/26/16,3,115,1240
1/26/16,4,116,710
1/26/16,5,117,730
1/26/16,6,118,730
1/26/16,7,119,1820
1/26/16,8,120,2530
1/27/16,1,121,740
1/27/16,2,122,660
1/27/16,3,123,1190
1/27/16,4,124,1350
1/27/16,5,125,680
1/27/16,6,126,640
1/27/16,7,127,680
1/27/16,8,128,630
1/28/16,1,129,740
1/28/16,2,130,690
1/28/16,3,131,610
1/28/16,4,132,700
1/28/16,5,133,720
1/28/16,6,134,650
1/28/16,7,135,650
1/28/16,8,136,640
1/29/16,1,137,730
1/29/16,2,138,640
1/29/16,3,139,680
1/29/16,4,140,620
1/29/16,5,141,690
1/29/16,6,142,880
1/29/16,7,143,1510
1/29/16,8,144,1170
1/30/16,1,145,760
1/30/16,2,146,690
1/30/16,3,147,730
1/30/16,4,148,1090
1/30/16,5,149,4450
1/30/16,6,150,5660
1/30/16,7,151,4270
1/30/16,8,152,1140
1/31/16,1,153,820
1/31/16,2,154,760
1/31/16,3,155,1420
1/31/16,4,156,4240
1/31/16,5,157,4040
1/31/16,6,158,2730
1/31/16,7,159,3500
1/31/16,8,160,1130
2/1/16,1,161,820
2/1/16,2,162,830
2/1/16,3,163,1770
2/1/16,4,164,3570
2/1/16,5,165,5730
2/1/16,6,166,4790
2/1/16,7,167,3430
2/1/16,8,168,1510
2/2/16,1,169,980
2/2/16,2,170,820
2/2/16,3,171,1360
2/2/16,4,172,1270
2/2/16,5,173,1340
2/2/16,6,174,1190
2/2/16,7,175,2930
2/2/16,8,176,1330
2/3/16,1,177,1190
2/3/16,2,178,1000
2/3/16,3,179,1820
2/3/16,4,180,4000
2/3/16,5,181,2520
2/3/16,6,182,3860
2/3/16,7,183,3260
2/3/16,8,184,1490
2/4/16,1,185,830
2/4/16,2,186,740
2/4/16,3,187,910
2/4/16,4,188,2010
2/4/16,5,189,3160
2/4/16,6,190,1700
2/4/16,7,191,3290
2/4/16,8,192,1810
2/5/16,1,193,810
2/5/16,2,194,760
2/5/16,3,195,820
2/5/16,4,196,950
2/5/16,5,197,920
2/5/16,6,198,1090
2/5/16,7,199,2760
2/5/16,8,200,900
2/6/16,1,201,890
2/6/16,2,202,770
2/6/16,3,203,830
2/6/16,4,204,900
2/6/16,5,205,1200
2/6/16,6,206,3930
2/6/16,7,207,2120
2/6/16,8,208,1340
2/7/16,1,209,800
2/7/16,2,210,760
2/7/16,3,211,810
2/7/16,4,212,950
2/7/16,5,213,950
2/7/16,6,214,1810
2/7/16,7,215,3480
2/7/16,8,216,1870
2/8/16,1,217,870
2/8/16,2,218,760
2/8/16,3,219,1010
2/8/16,4,220,4130
2/8/16,5,221,4600
2/8/16,6,222,5030
2/8/16,7,223,3660
2/8/16,8,224,1160
2/9/16,1,225,850
2/9/16,2,226,790
2/9/16,3,227,900
2/9/16,4,228,3390
2/9/16,5,229,3980
2/9/16,6,230,2590
2/9/16,7,231,3850
2/9/16,8,232,1760
2/10/16,1,233,1330
2/10/16,2,234,1190
2/10/16,3,235,1320
2/10/16,4,236,1670
2/10/16,5,237,1410
2/10/16,6,238,1710
2/10/16,7,239,3560
2/10/16,8,240,1690
2/11/16,1,241,970
2/11/16,2,242,820
2/11/16,3,243,1290
2/11/16,4,244,2090
2/11/16,5,245,1980
2/11/16,6,246,2600
2/11/16,7,247,4040
2/11/16,8,248,1510
2/12/16,1,249,1040
2/12/16,2,250,920
2/12/16,3,251,990
2/12/16,4,252,3200
2/12/16,5,253,5190
2/12/16,6,254,2160
2/12/16,7,255,2320
2/12/16,8,256,1150
2/13/16,1,257,980
2/13/16,2,258,890
2/13/16,3,259,920
2/13/16,4,260,3080
2/13/16,5,261,2130
2/13/16,6,262,1450
2/13/16,7,263,3370
2/13/16,8,264,1020
2/14/16,1,265,1000
2/14/16,2,266,1000
2/14/16,3,267,1440
2/14/16,4,268,2280
2/14/16,5,269,2210
2/14/16,6,270,1950
2/14/16,7,271,3300
2/14/16,8,272,1570
2/15/16,1,273,1050
2/15/16,2,274,980
2/15/16,3,275,1480
2/15/16,4,276,3600
2/15/16,5,277,3520
2/15/16,6,278,1030
2/15/16,7,279,3930
2/15/16,8,280,1360
2/16/16,1,281,890
2/16/16,2,282,740
2/16/16,3,283,2610
2/16/16,4,284,3290
2/16/16,5,285,1210
2/16/16,6,286,940
2/16/16,7,287,2530
2/16/16,8,288,1210
2/17/16,1,289,1030
2/17/16,2,290,1030
2/17/16,3,291,1070
2/17/16,4,292,1280
2/17/16,5,293,1160
2/17/16,6,294,1320
2/17/16,7,295,1660
2/17/16,8,296,1070
2/18/16,1,297,970
2/18/16,2,298,850
2/18/16,3,299,1300
2/18/16,4,300,3030
2/18/16,5,301,1260
2/18/16,6,302,1200
2/18/16,7,303,2370
2/18/16,8,304,1080
2/19/16,1,305,830
2/19/16,2,306,740
2/19/16,3,307,1310
2/19/16,4,308,4770
2/19/16,5,309,3860
2/19/16,6,310,3620
2/19/16,7,311,1310
2/19/16,8,312,710
2/20/16,1,313,790
2/20/16,2,314,770
2/20/16,3,315,810
2/20/16,4,316,3200
2/20/16,5,317,3650
2/20/16,6,318,1470
2/20/16,7,319,2740
2/20/16,8,320,1080
2/21/16,1,321,860
2/21/16,2,322,850
2/21/16,3,323,830
2/21/16,4,324,1290
2/21/16,5,325,1650
2/21/16,6,326,1930
2/21/16,7,327,4200
2/21/16,8,328,1150
2/22/16,1,329,1070
2/22/16,2,330,930
2/22/16,3,331,1100
2/22/16,4,332,2950
2/22/16,5,333,1740
2/22/16,6,334,1540
2/22/16,7,335,2890
2/22/16,8,336,1230
2/23/16,1,337,1120
2/23/16,2,338,1020
2/23/16,3,339,970
2/23/16,4,340,2460
2/23/16,5,341,1680
2/23/16,6,342,1700
2/23/16,7,343,2720
2/23/16,8,344,1100
2/24/16,1,345,890
2/24/16,2,346,860
2/24/16,3,347,900
2/24/16,4,348,1180
2/24/16,5,349,2010
2/24/16,6,350,1950
2/24/16,7,351,1980
2/24/16,8,352,1460
2/25/16,1,353,900
2/25/16,2,354,800
2/25/16,3,355,1500
2/25/16,4,356,4370
2/25/16,5,357,4510
2/25/16,6,358,1830
2/25/16,7,359,3040
2/25/16,8,360,1060
2/26/16,1,361,800
2/26/16,2,362,790
2/26/16,3,363,1590
2/26/16,4,364,2960
2/26/16,5,365,3220
2/26/16,6,366,940
2/26/16,7,367,2230
2/26/16,8,368,1020
2/27/16,1,369,820
2/27/16,2,370,780
2/27/16,3,371,930
2/27/16,4,372,2470
2/27/16,5,373,2740
2/27/16,6,374,1140
2/27/16,7,375,1780
2/27/16,8,376,1330
2/28/16,1,377,930
2/28/16,2,378,860
2/28/16,3,379,930
2/28/16,4,380,1040
2/28/16,5,381,890
2/28/16,6,382,860
2/28/16,7,383,1130
2/28/16,8,384,1060
2/29/16,1,385,960
2/29/16,2,386,800
2/29/16,3,387,2000
2/29/16,4,388,4000
2/29/16,5,389,5780
2/29/16,6,390,4770
2/29/16,7,391,3090
2/29/16,8,392,1230
3/1/16,1,393,970
3/1/16,2,394,740
3/1/16,3,395,1170
3/1/16,4,396,1310
3/1/16,5,397,1580
3/1/16,6,398,890
3/1/16,7,399,2710
3/1/16,8,400,1050
3/2/16,1,401,830
3/2/16,2,402,800
3/2/16,3,403,1690
3/2/16,4,404,2310
3/2/16,5,405,1270
3/2/16,6,406,2020
3/2/16,7,407,3280
3/2/16,8,408,1160
3/3/16,1,409,840
3/3/16,2,410,800
3/3/16,3,411,970
3/3/16,4,412,1560
3/3/16,5,413,2990
3/3/16,6,414,2000
3/3/16,7,415,1700
3/3/16,8,416,950
3/4/16,1,417,910
3/4/16,2,418,790
3/4/16,3,419,800
3/4/16,4,420,780
3/4/16,5,421,2980
3/4/16,6,422,3760
3/4/16,7,423,2360
3/4/16,8,424,1350
3/5/16,1,425,850
3/5/16,2,426,770
3/5/16,3,427,800
3/5/16,4,428,1140
3/5/16,5,429,2430
3/5/16,6,430,3630
3/5/16,7,431,2280
3/5/16,8,432,1260
3/6/16,1,433,800
3/6/16,2,434,790
3/6/16,3,435,760
3/6/16,4,436,1140
3/6/16,5,437,1380
3/6/16,6,438,1800
3/6/16,7,439,4570
3/6/16,8,440,1680
3/7/16,1,441,820
3/7/16,2,442,730
3/7/16,3,443,1420
3/7/16,4,444,6340
3/7/16,5,445,4560
3/7/16,6,446,2800
3/7/16,7,447,2580
3/7/16,8,448,1290
3/8/16,1,449,1070
3/8/16,2,450,800
3/8/16,3,451,880
3/8/16,4,452,830
3/8/16,5,453,1810
3/8/16,6,454,920
3/8/16,7,455,3390
3/8/16,8,456,1070
3/9/16,1,457,850
3/9/16,2,458,780
3/9/16,3,459,1910
3/9/16,4,460,2070
3/9/16,5,461,1300
3/9/16,6,462,1890
3/9/16,7,463,2470
3/9/16,8,464,1230
3/10/16,1,465,1010
3/10/16,2,466,780
3/10/16,3,467,820
3/10/16,4,468,1600
3/10/16,5,469,1170
3/10/16,6,470,2990
3/10/16,7,471,3910
3/10/16,8,472,1100
3/11/16,1,473,880
3/11/16,2,474,840
3/11/16,3,475,1910
3/11/16,4,476,1460
3/11/16,5,477,910
3/11/16,6,478,890
3/11/16,7,479,2280
3/11/16,8,480,1060
3/12/16,1,481,830
3/12/16,2,482,800
3/12/16,3,483,900
3/12/16,4,484,1680
3/12/16,5,485,2750
3/12/16,6,486,1430
3/12/16,7,487,3930
3/12/16,8,488,1880
3/13/16,1,489,950
3/13/16,2,490,920
3/13/16,3,491,1000
3/13/16,4,492,1660
3/13/16,5,493,1100
3/13/16,6,494,1140
3/13/16,7,495,2030
3/13/16,8,496,980
3/14/16,1,497,810
3/14/16,2,498,790
3/14/16,3,499,2050
3/14/16,4,500,5050
3/14/16,5,501,5010
3/14/16,6,502,5530
3/14/16,7,503,3000
3/14/16,8,504,1380
3/15/16,1,505,870
3/15/16,2,506,810
3/15/16,3,507,1680
3/15/16,4,508,1090
3/15/16,5,509,1510
3/15/16,6,510,2090
3/15/16,7,511,4690
3/15/16,8,512,1270
3/16/16,1,513,1050
3/16/16,2,514,800
3/16/16,3,515,2000
3/16/16,4,516,4010
3/16/16,5,517,4160
3/16/16,6,518,4970
3/16/16,7,519,4780
3/16/16,8,520,1040
3/17/16,1,521,900
3/17/16,2,522,850
3/17/16,3,523,1730
3/17/16,4,524,1910
3/17/16,5,525,1040
3/17/16,6,526,1550
3/17/16,7,527,3290
3/17/16,8,528,1240
3/18/16,1,529,900
3/18/16,2,530,810
3/18/16,3,531,940
3/18/16,4,532,960
3/18/16,5,533,1070
3/18/16,6,534,1150
3/18/16,7,535,2180
3/18/16,8,536,1010
3/19/16,1,537,920
3/19/16,2,538,830
3/19/16,3,539,1340
3/19/16,4,540,4530
3/19/16,5,541,3680
3/19/16,6,542,1650
3/19/16,7,543,2240
3/19/16,8,544,1180
3/20/16,1,545,1010
3/20/16,2,546,1000
3/20/16,3,547,1230
3/20/16,4,548,3790
3/20/16,5,549,2400
3/20/16,6,550,2310
3/20/16,7,551,3130
3/20/16,8,552,1280
3/21/16,1,553,1040
3/21/16,2,554,930
3/21/16,3,555,2110
3/21/16,4,556,1040
3/21/16,5,557,940
3/21/16,6,558,950
3/21/16,7,559,2950
3/21/16,8,560,1240
3/22/16,1,561,960
3/22/16,2,562,900
3/22/16,3,563,930
3/22/16,4,564,840
3/22/16,5,565,900
3/22/16,6,566,1020
3/22/16,7,567,3380
3/22/16,8,568,1310
3/23/16,1,569,920
3/23/16,2,570,930
3/23/16,3,571,2550
3/23/16,4,572,1320
3/23/16,5,573,1270
3/23/16,6,574,1760
3/23/16,7,575,2410
3/23/16,8,576,1090
3/24/16,1,577,980
3/24/16,2,578,840
3/24/16,3,579,950
3/24/16,4,580,1000
3/24/16,5,581,890
3/24/16,6,582,1650
3/24/16,7,583,2640
3/24/16,8,584,1150
3/25/16,1,585,950
3/25/16,2,586,920
3/25/16,3,587,1740
3/25/16,4,588,5440
3/25/16,5,589,5480
3/25/16,6,590,5620
3/25/16,7,591,4570
3/25/16,8,592,1260
3/26/16,1,593,1010
3/26/16,2,594,900
3/26/16,3,595,1060
3/26/16,4,596,3730
3/26/16,5,597,2080
3/26/16,6,598,1620
3/26/16,7,599,3060
3/26/16,8,600,2230
3/27/16,1,601,1070
3/27/16,2,602,1070
3/27/16,3,603,1000
3/27/16,4,604,1540
3/27/16,5,605,1210
3/27/16,6,606,1410
3/27/16,7,607,1910
3/27/16,8,608,1310
3/28/16,1,609,1140
3/28/16,2,610,1060
3/28/16,3,611,1150
3/28/16,4,612,2670
3/28/16,5,613,3630
3/28/16,6,614,4140
3/28/16,7,615,3520
3/28/16,8,616,1020
3/29/16,1,617,1110
3/29/16,2,618,1030
3/29/16,3,619,1130
3/29/16,4,620,1370
3/29/16,5,621,1960
3/29/16,6,622,3130
3/29/16,7,623,2210
3/29/16,8,624,1230
3/30/16,1,625,1150
3/30/16,2,626,1010
3/30/16,3,627,1250
3/30/16,4,628,1780
3/30/16,5,629,1660
3/30/16,6,630,1430
3/30/16,7,631,3350
3/30/16,8,632,1000
3/31/16,1,633,910
3/31/16,2,634,910
3/31/16,3,635,1080
3/31/16,4,636,1540
3/31/16,5,637,1850
3/31/16,6,638,2380
3/31/16,7,639,1860
3/31/16,8,640,870
4/1/16,1,641,930
4/1/16,2,642,870
4/1/16,3,643,1350
4/1/16,4,644,2060
4/1/16,5,645,860
4/1/16,6,646,830
4/1/16,7,647,820
4/1/16,8,648,860
4/2/16,1,649,910
4/2/16,2,650,840
4/2/16,3,651,840
4/2/16,4,652,830
4/2/16,5,653,950
4/2/16,6,654,1060
4/2/16,7,655,970
4/2/16,8,656,900
4/3/16,1,657,1040
4/3/16,2,658,960
4/3/16,3,659,970
4/3/16,4,660,1050
4/3/16,5,661,1380
4/3/16,6,662,1660
4/3/16,7,663,1990
4/3/16,8,664,1290
4/4/16,1,665,1030
4/4/16,2,666,1030
4/4/16,3,667,1900
4/4/16,4,668,6070
4/4/16,5,669,6680
4/4/16,6,670,7330
4/4/16,7,671,1990
4/4/16,8,672,1120
4/5/16,1,673,1100
4/5/16,2,674,1060
4/5/16,3,675,3520
4/5/16,4,676,2230
4/5/16,5,677,4370
4/5/16,6,678,5490
4/5/16,7,679,3590
4/5/16,8,680,940
4/6/16,1,681,990
4/6/16,2,682,920
4/6/16,3,683,1600
4/6/16,4,684,1340
4/6/16,5,685,1930
4/6/16,6,686,2290
4/6/16,7,687,2670
4/6/16,8,688,870
4/7/16,1,689,1020
4/7/16,2,690,880
4/7/16,3,691,2050
4/7/16,4,692,1440
4/7/16,5,693,850
4/7/16,6,694,890
4/7/16,7,695,1810
4/7/16,8,696,970
4/8/16,1,697,1030
4/8/16,2,698,880
4/8/16,3,699,1520
4/8/16,4,700,2810
4/8/16,5,701,2480
4/8/16,6,702,7420
4/8/16,7,703,2400
4/8/16,8,704,820
4/9/16,1,705,970
4/9/16,2,706,920
4/9/16,3,707,1490
4/9/16,4,708,1800
4/9/16,5,709,2430
4/9/16,6,710,3650
4/9/16,7,711,2880
4/9/16,8,712,1010
4/10/16,1,713,1000
4/10/16,2,714,880
4/10/16,3,715,1470
4/10/16,4,716,1870
4/10/16,5,717,1040
4/10/16,6,718,1220
4/10/16,7,719,2200
4/10/16,8,720,1000
4/11/16,1,721,1000
4/11/16,2,722,1070
4/11/16,3,723,870
4/11/16,4,724,1450
4/11/16,5,725,1410
4/11/16,6,726,2390
4/11/16,7,727,1980
4/11/16,8,728,1040
4/12/16,1,729,1000
4/12/16,2,730,960
4/12/16,3,731,1180
4/12/16,4,732,980
4/12/16,5,733,1090
4/12/16,6,734,3510
4/12/16,7,735,5990
4/12/16,8,736,1190
4/13/16,1,737,1010
4/13/16,2,738,1670
4/13/16,3,739,1580
4/13/16,4,740,1120
4/13/16,5,741,1370
4/13/16,6,742,2600
4/13/16,7,743,3390
4/13/16,8,744,830
4/14/16,1,745,1020
4/14/16,2,746,940
4/14/16,3,747,1360
4/14/16,4,748,1340
4/14/16,5,749,1140
4/14/16,6,750,2820
4/14/16,7,751,2820
4/14/16,8,752,910
4/15/16,1,753,1000
4/15/16,2,754,990
4/15/16,3,755,6110
4/15/16,4,756,4140
4/15/16,5,757,1250
4/15/16,6,758,1480
4/15/16,7,759,2600
4/15/16,8,760,1350
4/16/16,1,761,1010
4/16/16,2,762,950
4/16/16,3,763,1510
4/16/16,4,764,4210
4/16/16,5,765,3510
4/16/16,6,766,5020
4/16/16,7,767,1930
4/16/16,8,768,1180
4/17/16,1,769,990
4/17/16,2,770,930
4/17/16,3,771,1570
4/17/16,4,772,4190
4/17/16,5,773,1510
4/17/16,6,774,3050
4/17/16,7,775,1980
4/17/16,8,776,1030
4/18/16,1,777,1120
4/18/16,2,778,880
4/18/16,3,779,950
4/18/16,4,780,1080
4/18/16,5,781,860
4/18/16,6,782,2540
4/18/16,7,783,2090
4/18/16,8,784,820
4/19/16,1,785,910
4/19/16,2,786,1310
4/19/16,3,787,1550
4/19/16,4,788,850
4/19/16,5,789,880
4/19/16,6,790,2230
4/19/16,7,791,1880
4/19/16,8,792,820
4/20/16,1,793,930
4/20/16,2,794,910
4/20/16,3,795,1100
4/20/16,4,796,990
4/20/16,5,797,1710
4/20/16,6,798,2260
4/20/16,7,799,2780
4/20/16,8,800,930
4/21/16,1,801,980
4/21/16,2,802,980
4/21/16,3,803,930
4/21/16,4,804,940
4/21/16,5,805,1050
4/21/16,6,806,2170
4/21/16,7,807,2850
4/21/16,8,808,1170
4/22/16,1,809,1220
4/22/16,2,810,1270
4/22/16,3,811,3040
4/22/16,4,812,5770
4/22/16,5,813,4140
4/22/16,6,814,6040
4/22/16,7,815,2100
4/22/16,8,816,990
4/23/16,1,817,1030
4/23/16,2,818,950
4/23/16,3,819,1060
4/23/16,4,820,4120
4/23/16,5,821,2400
4/23/16,6,822,1390
4/23/16,7,823,3060
4/23/16,8,824,1110
4/24/16,1,825,1010
4/24/16,2,826,1020
4/24/16,3,827,1320
4/24/16,4,828,2550
4/24/16,5,829,1130
4/24/16,6,830,1570
4/24/16,7,831,1860
4/24/16,8,832,1320
4/25/16,1,833,1250
4/25/16,2,834,1290
4/25/16,3,835,1030
4/25/16,4,836,1090
4/25/16,5,837,1100
4/25/16,6,838,2010
4/25/16,7,839,1950
4/25/16,8,840,1100
4/26/16,1,841,990
4/26/16,2,842,1260
4/26/16,3,843,1480
4/26/16,4,844,880
4/26/16,5,845,870
4/26/16,6,846,2400
4/26/16,7,847,1850
4/26/16,8,848,930
4/27/16,1,849,920
4/27/16,2,850,920
4/27/16,3,851,1180
4/27/16,4,852,1230
4/27/16,5,853,1420
4/27/16,6,854,2030
4/27/16,7,855,1970
4/27/16,8,856,1140
4/28/16,1,857,960
4/28/16,2,858,1260
4/28/16,3,859,1830
4/28/16,4,860,1190
4/28/16,5,861,890
4/28/16,6,862,3380
4/28/16,7,863,3430
4/28/16,8,864,870
4/29/16,1,865,940
4/29/16,2,866,870
4/29/16,3,867,3320
4/29/16,4,868,2480
4/29/16,5,869,3270
4/29/16,6,870,2210
4/29/16,7,871,2020
4/29/16,8,872,950
4/30/16,1,873,880
4/30/16,2,874,960
4/30/16,3,875,2780
4/30/16,4,876,5140
4/30/16,5,877,3620
4/30/16,6,878,4590
4/30/16,7,879,1210
4/30/16,8,880,1040
5/1/16,1,881,980
5/1/16,2,882,890
5/1/16,3,883,1280
5/1/16,4,884,1400
5/1/16,5,885,1720
5/1/16,6,886,4080
5/1/16,7,887,2620
5/1/16,8,888,1120
5/2/16,1,889,930
5/2/16,2,890,1260
5/2/16,3,891,1790
5/2/16,4,892,970
5/2/16,5,893,1490
5/2/16,6,894,2790
5/2/16,7,895,2090
5/2/16,8,896,1010
5/3/16,1,897,930
5/3/16,2,898,940
5/3/16,3,899,1010
5/3/16,4,900,890
5/3/16,5,901,890
5/3/16,6,902,2260
5/3/16,7,903,2260
5/3/16,8,904,860
5/4/16,1,905,1010
5/4/16,2,906,950
5/4/16,3,907,2120
5/4/16,4,908,1360
5/4/16,5,909,1250
5/4/16,6,910,1630
5/4/16,7,911,2020
5/4/16,8,912,1030
5/5/16,1,913,950
5/5/16,2,914,870
5/5/16,3,915,2450
5/5/16,4,916,1590
