Start Date,D,T,Energy,Energy_lag1,T_Out
1/12/2016 3:10,2,2,760,2160,4.919444444
1/12/2016 6:10,3,3,1100,760,5.013888889
1/12/2016 9:10,4,4,1980,1100,5.927777778
1/12/2016 12:10,5,5,2840,1980,7.147222222
1/12/2016 15:10,6,6,1800,2840,6.275
1/12/2016 18:10,7,7,970,1800,4.763888889
1/12/2016 21:10,8,8,730,970,5.385294118
1/13/2016 0:00,1,9,780,730,5.465789474
1/13/2016 3:10,2,10,700,780,5.269444444
1/13/2016 6:10,3,11,2410,700,5.033333333
1/13/2016 9:10,4,12,1720,2410,5.361111111
1/13/2016 12:10,5,13,730,1720,6.191666667
1/13/2016 15:10,6,14,1370,730,5.394444444
1/13/2016 18:10,7,15,3450,1370,3.063888889
1/13/2016 21:10,8,16,2810,3450,2.935294118
1/14/2016 0:00,1,17,810,2810,2.905263158
1/14/2016 3:10,2,18,750,810,3.338888889
1/14/2016 6:10,3,19,2640,750,3.291666667
1/14/2016 9:10,4,20,5830,2640,2.144444444
1/14/2016 12:10,5,21,2690,5830,4.472222222
1/14/2016 15:10,6,22,4600,2690,4.972222222
1/14/2016 18:10,7,23,3390,4600,3.869444444
1/14/2016 21:10,8,24,1090,3390,2.435294118
1/15/2016 0:00,1,25,940,1090,0.513157895
1/15/2016 3:10,2,26,880,940,2.702777778
1/15/2016 6:10,3,27,2340,880,3.2
1/15/2016 9:10,4,28,2400,2340,3.530555556
1/15/2016 12:10,5,29,2820,2400,4.088888889
1/15/2016 15:10,6,30,1290,2820,2.488888889
1/15/2016 18:10,7,31,4460,1290,2.497222222
1/15/2016 21:10,8,32,2920,4460,2.405882353
1/16/2016 0:00,1,33,870,2920,2.092105263
1/16/2016 3:10,2,34,810,870,0.705555556
1/16/2016 6:10,3,35,2650,810,1.055555556
1/16/2016 9:10,4,36,1110,2650,2.927777778
1/16/2016 12:10,5,37,1410,1110,5.563888889
1/16/2016 15:10,6,38,3500,1410,3.108333333
1/16/2016 18:10,7,39,5730,3500,1.358333333
1/16/2016 21:10,8,40,1960,5730,0.661764706
1/17/2016 0:00,1,41,880,1960,0.734210526
1/17/2016 3:10,2,42,870,880,0.5
1/17/2016 6:10,3,43,4220,870,-0.2
1/17/2016 9:10,4,44,4060,4220,0.855555556
1/17/2016 12:10,5,45,2540,4060,2.902777778
1/17/2016 15:10,6,46,3730,2540,1.441666667
1/17/2016 18:10,7,47,3010,3730,-1.136111111
1/17/2016 21:10,8,48,1240,3010,-2.114705882
1/18/2016 0:00,1,49,820,1240,-3.557894737
1/18/2016 3:10,2,50,740,820,-4.097222222
1/18/2016 6:10,3,51,860,740,-4.522222222
1/18/2016 9:10,4,52,730,860,-2.741666667
1/18/2016 12:10,5,53,740,730,-0.838888889
1/18/2016 15:10,6,54,670,740,-1.011111111
1/18/2016 18:10,7,55,6890,670,-2.527777778
1/18/2016 21:10,8,56,2080,6890,-4.244117647
1/19/2016 0:00,1,57,800,2080,-4.468421053
1/19/2016 3:10,2,58,740,800,-4.233333333
1/19/2016 6:10,3,59,780,740,-4.444444444
1/19/2016 9:10,4,60,680,780,-3.025
1/19/2016 12:10,5,61,720,680,0.041666667
1/19/2016 15:10,6,62,1220,720,-0.219444444
1/19/2016 18:10,7,63,5890,1220,-3.052777778
1/19/2016 21:10,8,64,1160,5890,-4.005882353
1/20/2016 0:00,1,65,710,1160,-4.790350877
1/20/2016 3:10,2,66,750,710,-4.268518519
1/20/2016 6:10,3,67,2020,750,-2.577777778
1/20/2016 9:10,4,68,1610,2020,-1.713888889
1/20/2016 12:10,5,69,1320,1610,-0.041666667
1/20/2016 15:10,6,70,2020,1320,0.402777778
1/20/2016 18:10,7,71,5750,2020,0.038888889
1/20/2016 21:10,8,72,2300,5750,0.255882353
1/21/2016 0:00,1,73,880,2300,-1.094736842
1/21/2016 3:10,2,74,850,880,-1.172222222
1/21/2016 6:10,3,75,740,850,-2.675
1/21/2016 9:10,4,76,960,740,-0.336111111
1/21/2016 12:10,5,77,1740,960,3.886111111
1/21/2016 15:10,6,78,750,1740,2.977777778
1/21/2016 18:10,7,79,5880,750,-0.211111111
